tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
42007011016p0;42007011016p0;2006.0;"child; family; work; article; psychotherapy; process; relationship; health; adolescent; perception; research; intervention; patient; social; datum; questionnaire; experience; factor; dissertation; woman; violence; treatment; analysis; empirical; risk; first; clinical; life; second; sexual";37;5;42007011016p0;psicologia;universidade do vale do rio dos sinos;são leopoldo;psicologia;sul;121.0;unisinos;rs;"ss; ppa; jealousy; wa; retirement; infidelity; injurious; deaf; abandonment; pdt; reflective; ems; physician; dropout; cancer; socioemotional; family environment; therapist; sts; academic productivism; hs; countertransference; mfa; psychotherapy; productivism; anxiety; therapeutic alliance; sexual; alliance; restorative"
41020014003p2;41020014003p2;2014.0;"production; family; agroecology; food; development; system; farmer; peasant; rural; process; social; agroecological; fruit; agriculture; other; research; use; farming; organic; region; fish; plant; specie; work; extract; policy; group; school; native; public";45;3;41020014003p2;interdisciplinar;universidade federal da fronteira sul;laranjeiras do sul;agroecologia e desenvolvimento rural sustentável;sul;52.0;uffs;pr;"native fruit; glyphosate; garlic; cheese; cladode; organic food; tobacco; pig; fish; colonial; peasant; seed; price; uv; food culture; agroecosystem; agroecology; woman; cutting; embeddedness; poisoning; settlement; tibagi; caminhos; território; rsd; silvipastoral; reterritorialization; water deficit; fruit"
53001010107p2;53001010107p2;2016.0;"muscle; limb; group; lower; use; evaluation; lower limb; patient; functional; function; activity; sport; clinical; method; test; disease; outcome; people; strength; performance; analysis; injury; tendon; training; technology; device; conclusion; daily; icu; significant";21;3;53001010107p2;educação física;universidade de brasília;brasília;ciências da reabilitação;centro-oeste;20.0;unb;df;"tendon; sport; assistive technology; pc; assistive; undesirable; lift; shoe; pilates; limb; icu; gait; discharge; rc; pilates method; nmes; lower limb; postural instability; reliability; user; resistance training; at; motor symptom; us; bone mineral density; mineral density; femoris muscle; bone mineral; awakening; femoris"
33002010243p0;33002010243p0;2014.0;"tourism; research; tourist; development; policy; são; paulo; management; leisure; city; são paulo; public; area; infrastructure; analysis; brazil; datum; destination; relation; airport; perspective; objective; world; process; visitor; interview; public policy; activity; program; local";27;4;33002010243p0;administração pública e de empresas, ciências contábeis e turismo;universidade de são paulo;são paulo;turismo;sudeste;25.0;usp;sp;"cruise; travel; leisure; airport; gastronomic; tourism; corinthians; bi; caiçara; tourist; sebastian; destination; ict; cuisine; accessibility; readability; competitiveness; elderly; diamantina; doctors; world cup; cup; tourism policy; island; cooperation network; satisfaction; bathing; olympic; visitor; management process"
33003017171p5;33003017171p5;2017.0;"patient; aki; rr; mortality; disease; lymph; criterion; cirrhosis; axillary; guideline; hospital; procedure; fibrosis; medicine; stage; nuclear; protocol; acute; nuclear medicine; nodal; analysis; care; score; failure; transplantation; test; factor; liver; surgical; hospitalization";15;3;33003017171p5;medicina i;universidade estadual de campinas;campinas;ciência aplicada à qualificação médica;sudeste;8.0;unicamp;sp;"aki; nuclear medicine; axillary; pemphigus; glaucoma; nodal; lymph; rr; nuclear; decompensation; cirrhosis; iop; transplantation; duodenum; organic; fibrosis; vulgaris; visual field; stomach; intraocular pressure; medicine; organic dysfunction; failure; cochran; intraocular; upper digestive; guideline; sentinel lymph; item; mortality"
53005015002p8;53005015002p8;2012.0;"research; participant; social; process; school; work; subjective; education; life; student; condition; woman; experience; subjectivity; training; analysis; strategy; subject; group; way; practice; verbal; card; child; other; health; support; effect; educational; federal";37;4;53005015002p8;psicologia;centro universitário de brasília;brasília;psicologia;centro-oeste;51.0;uniceub;df;"humor; storyteller; school evasion; card; black woman; religious teaching; adhesion; public agent; matching; syndrome; tile; alteration; subjective; black; sd; candomblé; burnout; intellectual disability; sport practice; radiology; primary caregiver; listener; storytelling; postgraduate; trance; police; harassment; dm2; reflexive; counting"
42046017007p2;42046017007p2;2012.0;"activity; concentration; drug; method; use; treatment; cell; compound; potential; toxicity; effect; extract; test; group; evaluation; product; analysis; control; ml; formulation; food; human; parameter; safety; genotoxicity; damage; rat; population; disease; condition";19;3;42046017007p2;farmácia;fundação universidade federal do pampa;uruguaiana;ciências farmacêuticas;sul;49.0;unipampa;rs;"impurity; fluconazole; shr; nc; mussel; feso4; dissolution; cationic; fumonisin; tf; speciosa; ncs; melaleuca; fumonisin b1; sildenafil; apocynin; suspension; metronidazole; gastric; citrus aurantium; aurantium; nanoemulsion; basil; fe; falsification; burger; homeopathic; golden mussel; acv; popular use"
28001010062p8;28001010062p8;2007.0;"system; process; model; analysis; production; energy; method; work; water; use; oil; datum; application; company; research; temperature; efficiency; industrial; industry; order; case; value; plant; time; environmental; development; scenario; different; performance; brazil";13;5;28001010062p8;engenharias iii;universidade federal da bahia;salvador;engenharia industrial;nordeste;144.0;ufba;ba;"csp; sigma; liposome; imager; coconut; biocide; spore; wax; ps; molybdenum; torque; urine; dyeing; weibull; tallow; urea; starch; fuel; curcumin; amplifier; cm-1; psychological profile; lipid; vehicle; citronella; cdp; property tax; bahia; dsm; paraffin"
42010012008p5;42010012008p5;2011.0;"education; school; research; teacher; educational; policy; public; student; process; teaching; training; analysis; knowledge; practice; work; formation; subject; learning; course; development; approach; datum; public policy; context; order; high; field; evaluation; pedagogical; way";38;4;42010012008p5;educação;universidade regional integrada do alto uruguai e das missões;frederico westphalen;educação;sul;92.0;uri;rs;"wisdom; neuroscience; linux; obmep; violence; eja; indigenous; rhinitis; polytechnic; bioethical; revolution; teacher trainer; higher learning; intellectual disability; alternation; permanent training; philanthropic; fundeb; pibid; bncc; alphabetization; ethic; cae; kantian; pedagogical formation; adhd; decentralization; trainer; symptom; progression"
40001016007p8;40001016007p8;1979.0;"cell; protein; effect; activity; exposure; group; fish; level; expression; treatment; change; specie; concentration; melanoma; stress; other; tumor; analysis; response; venom; animal; different; oil; day; tissue; enzyme; work; disease; test; gene";8;5;40001016007p8;ciências biológicas ii;universidade federal do paraná;curitiba;biologia celular e molecular;sul;114.0;ufpr;pr;"rubella; venom; agnp; tbp; eugenol; zno; osteopontin; dst; export; toxicology; hemolymph; mn; prpc; sertraline; vsmc; hyaluronidase; tbt; heparin; reservoir; fn; heat stress; m1; lr; cinnamon; element; dye; cd28; kinetoplast; peptide; melanoma"
32002017032p6;32002017032p6;2006.0;"animal; production; control; cattle; milk; day; kg; treatment; viçosa; period; weight; effect; beef; dry; height; pig; use; adviser; management; matter; dairy; supplement; msc; age; information; level; abstract; dm; datum; system";23;4;32002017032p6;zootecnia / recursos pesqueiros;universidade federal de viçosa;viçosa;zootecnia;sudeste;42.0;ufv;mg;"cysticercosis; supplement; deferral; genealogical; fodder; lactobacillus; associação; glycerine; salt; curve; registry; lime; liter; pig; cow; bulletin; diffusion; p<05; large fraction; milk; funil; dry season; silage; nc; specification; defect; heifer; technological information; inbreeding; winter"
33003033004p2;33003033004p2;1983.0;"group; adhesive; strength; bond; test; value; resin; cement; composite; mm; bond strength; dentin; ceramic; surface; analysis; different; control; material; storage; system; difference; resin cement; concentration; higher; significant; water; specimen; experimental; effect; time";18;6;33003033004p2;odontologia;universidade estadual de campinas ( piracicaba );piracicaba;materiais dentários;sudeste;88.0;unicamp/pi;sp;"fecl3; distractor; hema; gpa; doxycycline; bfs; naocl; led; thf; spacer; uc; veneer; bht; monomer; gene; c6; dmso; cleaning; thermomechanical; biodegradation; smt; sbs; icon; zno; plasma; violet; adhesive; retardation; pbs; initiator"
33002010200p9;33002010200p9;2006.0;"theater; research; process; work; creation; theatre; art; practice; body; actor; experience; theatrical; group; scene; artistic; performance; artist; contemporary; text; way; analysis; concept; space; creative; play; field; dance; thesis; scenic; action";11;6;33002010200p9;artes;universidade de são paulo;são paulo;artes cênicas;sudeste;174.0;usp;sp;"opera; costume; insistence; enchantment; theatre; cpt; oficina; cpc; masking; palestinian; alchemy; improvisation; theater; documentary; cti; pop; brava; cts; mask; storyteller; circus; animation; broken; artifice; cultural action; choreography; dance; solo; body; ensemble"
42001013001p5;42001013001p5;1972.0;"education; school; research; student; teacher; analysis; process; practice; work; way; policy; knowledge; social; experience; educational; teaching; other; subject; public; field; course; concept; thesis; university; context; life; child; action; training; relation";38;6;42001013001p5;educação;universidade federal do rio grande do sul;porto alegre;educação;sul;681.0;ufrgs;rs;"singing; comics; animality; almanac; dance; deaf; legal education; refugee; sw; museum; stadium; psychoanalytical; wedding; dispositif; teatro; new man; judgement; seamstress; indigenous; nde; argumentation; estimation; ip; fold; haiti; spirituality; cost; consumption; strike; reinhart"
33003017002p9;33003017002p9;1969.0;"system; model; quantum; energy; phase; surface; work; temperature; property; material; different; optical; method; structure; field; magnetic; particle; effect; parameter; interaction; ray; state; process; measurement; graphene; film; simulation; technique; ion; time";3;7;33003017002p9;astronomia / física;universidade estadual de campinas;campinas;física;sudeste;274.0;unicamp;sp;"walk; entanglement; nanowire; waveguide; neutrino; tb; ncd; bp; representatives; quantum; brain; demon; event; jet; gluon; decoherence; track; beam; phonon; laser; ice; collision; fluctuation; sio2; coherent; viscosity; fiber; interface; fom; mills"
32002017022p0;32002017022p0;1996.0;"group; animal; treatment; control; sample; isolate; day; difference; cell; different; analysis; effect; concentration; test; production; protein; gene; semen; value; sperm; rate; use; time; disease; evaluation; presence; tissue; high; bovine; total";24;6;32002017022p0;medicina veterinária;universidade federal de viçosa;viçosa;medicina veterinária;sudeste;223.0;ufv;mg;"meniscus; cysticercosis; lb; ssi; bifidobacteria; biocompound; electroacupuncture; pe; cdv; map; sludge; donation; estrus; slc; trehalose; anemia; centrifugation; marcha; nhs; lactis; casei; bacteriocin; marmoset; pcl; mastitis; bohv-1; serotype; melatonin; pgf2; benzophenone"
33148015001p9;33148015001p9;2009.0;"animal; day; rfi; weight; effect; feed; treatment; milk; production; test; body; period; age; kg; efficiency; performance; intake; experiment; quality; cow; diet; trait; carcass; difference; group; growth; analysis; calf; system; phase";23;4;33148015001p9;zootecnia / recursos pesqueiros;instituto de zootecnia iz/apta-saa/sp;nova odessa;produção animal sustentável;sudeste;93.0;iz/apta;sp;"rfi; pag; beet; dystocia; calf; estrus; egg; spontaneous plant; vg; monensin; molasses; room temperature; enzyme complex; rg; room; lf; nicosulfuron; behavioral trait; tick; heifer; cm; byproduct; girth; grass; antibiotic; citronellal; tdn; macadamia; cryopreservation; papilla"
31003010024p0;31003010024p0;1987.0;"animal; group; dog; sample; disease; blood; specie; day; treatment; rate; horse; evaluation; test; concentration; analysis; presence; clinical; pcr; infection; different; cat; cell; difference; region; control; serum; change; significant; most; total";24;5;31003010024p0;medicina veterinária;universidade federal fluminense;rio de janeiro;medicina veterinária ( clínica e reprodução animal);sudeste;182.0;uff;rj;"opu; pancreatitis; lymphoma; sporotrichosis; helicobacter; bothrops; bmi; plasmodium; rup; rdp; uterine; sis; asthma; hemoglobin; stress; humane; endpoint; hamster; gestation; tick; insemination; ltb4; bartonella; fentanyl; jumping; oocyte; sponge; antivenom; mule; genital"
27001016026p5;27001016026p5;2009.0;"research; social; sergipe; group; work; cultural; space; practice; relation; public; city; context; body; folklore; culture; way; construction; state; people; process; action; anthropology; political; analysis; ritual; death; different; event; relationship; carnival";35;3;27001016026p5;antropologia / arqueologia;fundação universidade federal de sergipe;são cristóvão;antropologia;nordeste;40.0;fufse;se;"brotherhood; restaurant; ouricuri; quilombola; free fair; abortion; carnival; folklore; death; swedish; fair; hair; sergipe; teenager; dance; partisan; maracatu; mãe; freud; comic_strip; capillary; umbanda; ritual; faith; fcs; popular culture; camp; structuralism; benedict; fishing"
40003019015p3;40003019015p3;2003.0;"human; concept; life; philosophy; work; freedom; world; theory; man; way; research; language; relation; moral; thought; being; other; philosophical; freud; process; subject; existence; problem; perspective; possibility; philosopher; action; experience; new; power";33;5;40003019015p3;filosofia;pontifícia universidade católica do paraná;curitiba;filosofia;sul;103.0;puc/pr;pr;"envy; illusion; violence; probability; loneliness; body; selfishness; freedom; therapy; psychotic; psychiatric; citizenship; pleasure; tolerance; performative; liberty; deleuze; aesthetic; technique; pain; woman; cyborg; symptom; freud; duty; mystic; jonas; cognitive science; progress; leader"
33009015069p4;33009015069p4;2010.0;"group; patient; level; treatment; disease; analysis; control; expression; test; high; gene; protein; significant; clinical; effect; difference; concentration; cell; method; animal; conclusion; change; increase; correlation; rat; system; kidney; profile; time; isolate";15;5;33009015069p4;medicina i;universidade federal de são paulo;são paulo;medicina translacional;sudeste;183.0;unifesp;sp;"fructose; ipc; cmv; osas; tsd; atenolol; rejection; aat; worry; zikv; hds; actinic; guilliermondii; dbs; t3; ra; chemoreflex; steatosis; pcv; ln; bandage; nandrolone; pah; cms; ct; ang; copd; fentanyl; bupivacaine; d7"
31033016011p8;31033016011p8;1999.0;"student; research; teacher; education; school; language; teaching; analysis; process; social; practice; use; learning; work; writing; new; other; datum; order; digital; course; knowledge; questionnaire; information; way; technology; question; methodology; text; subject";45;5;31033016011p8;interdisciplinar;universidade estadual do norte fluminense darcy ribeiro;campos dos goytacazes;cognição e linguagem;sudeste;159.0;uenf;rj;"eudaimonia; gypsy; chess; feedback; literacy; uterus; anxiety; bullying; li; samba; infographic; writing; cognitive development; proeja; body image; idiom; winplot; talented; phone; constructivism; error; chemistry; teacher education; stress; genre; punishment; autofiction; reading instruction; histology; art"
53023013001p2;53023013001p2;2017.0;;27;3;53023013001p2;administração pública e de empresas, ciências contábeis e turismo;centro universitário do instituto de educação superior de brasília;brasília;gestão estratégica de organizações;centro-oeste;0.0;iesb;df;
42003016010p7;42003016010p7;1985.0;"plant; fruit; cultivar; experiment; production; genetic; genotype; selection; quality; number; grain; pelotas; different; soil; yield; length; population; rice; use; root; peach; area; analysis; concentration; character; system; objective; trait; program; growth";42;4;42003016010p7;ciências agrárias i;universidade federal de pelotas;capão do leão;agronomia;sul;183.0;ufpel;rs;"tuber; ssd; hypoxia; grape; chamomile; voz; terroir; blueberry; brs; lodging; introgression; olive; tunnel; cold; trehalose; thinning; arsenic; rootstock; campanha; grove; iron; peach; flower; palm; wine; pruning; plastic cover; quince; pepper; s10"
33072019003p1;33072019003p1;2005.0;"city; architecture; são; urban; paulo; work; são paulo; project; building; research; public; new; concept; way; construction; cultural; development; case; system; space; place; architectural; representation; area; district; harbor; analysis; practice; time; brazil";29;4;33072019003p1;arquitetura, urbanismo e design;universidade são judas tadeu;são paulo;arquitetura e urbanismo;sudeste;52.0;usjt;sp;"harbor; tactical; scenography; graffiti; verticalization; district; sexual practice; patrimony; bim; noise; sexual; automation; virtual reality; rua; vilanova; bicycle; school; artigas; preservation; art; reuse; classical; subway; water reuse; edith; geometric; water; habitação; mobility; mixed type"
53001010055p2;53001010055p2;2004.0;"public; research; analysis; process; innovation; federal; program; management; information; budget; policy; variable; evaluation; datum; social; education; work; service; model; use; organizational; group; health; organization; performance; government; brazilian; brazil; system; interview";27;5;53001010055p2;administração pública e de empresas, ciências contábeis e turismo;universidade de brasília;brasília;administração;centro-oeste;69.0;unb;df;"pisa; fundeb; social assistance; evaluative research; innovation; amendment; fiscal; microcredit; homeless; routine; budget survey; budget; rotation; housing; participatory budgeting; tce; turnover; wage; provinha; cns; cost information; nuclear; qwl; fiscal policy; budgetary; critical event; information management; service innovation; ppp; dimensioning"
33002010163p6;33002010163p6;1991.0;"food; group; nutritional; health; risk; consumption; datum; analysis; body; brazilian; quality; activity; effect; school; nutrition; level; factor; ldl; disease; adolescent; significant; vegetable; supplementation; weight; brazil; life; status; dietary; patient; composition";50;3;33002010163p6;nutrição;universidade de são paulo;são paulo;nutrição humana aplicada;sudeste;45.0;usp;sp;"frailty; club; dep; mrp; depressive; advertisement; gym; expense; ldl; glutamine; kd; selenium; computational tool; adherence; depressive symptom; database; dietary pattern; vegetable; food composition; coaching; computational; economic assessment; special; school; productive inclusion; zinc; children´s; muscle; symptom; pattern"
33003017041p4;33003017041p4;1986.0;"model; system; water; analysis; method; process; research; use; test; work; element; concrete; value; structure; load; order; construction; soil; different; design; urban; performance; treatment; environmental; management; application; energy; waste; methodology; area";10;4;33003017041p4;engenharias i;universidade estadual de campinas;campinas;engenharia civil;sudeste;325.0;unicamp;sp;"metering; pat; orchestra; chest; overrun; shell; phenol; foam; crack; inactivation; payment; cpm; manual; audit; silo; splice; bond; connection; settlement; tide; lysimeter; tunnel; pump; mmol; pile; damage; infiltration; control point; fenton; fracture"
33002010037p0;33002010037p0;1970.0;"group; participant; stimulus; behavior; response; experiment; social; test; effect; other; procedure; control; individual; child; animal; analysis; phase; relation; different; experimental; model; training; process; session; research; condition; task; food; datum; subject";37;7;33002010037p0;psicologia;universidade de são paulo;são paulo;psicologia (psicologia experimental);sudeste;171.0;usp;sp;"extinction; dog; relapse; parasite; immunization; unpredictability; tdcs; circus; scar; predation; enrichment; criminological; maternal separation; food; jaguar; sign; waste; box; ethanol; prompt; aesthetic; foraging; naturalism; nest; photo; ext; psychoanalysis; deprivation; sexual; pheromone"
32008015011p7;32008015011p7;2005.0;"network; work; system; user; game; analysis; application; use; method; process; other; approach; video; order; information; mobile; elderly; research; algorithm; evaluation; class; problem; software; people; case; datum; model; time; image; social";2;4;32008015011p7;ciência da computação;pontifícia universidade católica de minas gerais;belo horizonte;informática;sudeste;78.0;puc/mg;mg;"handover; sms; autonomic; video; elderly; congestion; enzyme; uca; thread; use case; protein; pricing; process mapping; older people; recommender; older; attendance; dissemination; segmentation; casual; linux; kernel; tis; fca; facebook; name; implication; older adult; sdn; laptop"
15001016008p3;15001016008p3;1987.0;"language; work; research; other; pará; novel; portuguese; literary; analysis; process; narrative; brazilian; teaching; century; social; text; teacher; way; writer; datum; production; student; linguistic; theoretical; context; literature; author; state; learning; character";41;5;15001016008p3;linguística e literatura;universidade federal do pará;belém;letras: lingüística e teoria literária;norte;187.0;ufpa;pa;"sida; branch; munduruku; fanfiction; cametá; lec; faustino; max; phraseology; verb; bildungsroman; fantastic; strengthening; assessment; helplessness; vowel; truancy; helder; opening; palm; noun; resistance; dictatorial; hz; translation; degradation; anthropophagic; motivational; alves; periodical"
28013018062p9;28013018062p9;2015.0;"public; policy; public policy; social; development; management; assistance; research; law; process; social assistance; municipality; people; union; bahia; relation; ba; right; state; value; objective; analysis; approach; art; disability; resource; work; methodology; governance; control";45;4;28013018062p9;interdisciplinar;universidade salvador;salvador;direito, governança e políticas públicas;nordeste;11.0;unifacs;ba;"disability; social assistance; union; employability; assistance; ba; dialogical approach; juridical; bid; law enforcement; legal assistance; compulsory; national development; unity; credit; full employment; governance; public governance; art; federal public policy; government agency; sexual diversity; control; enforcement; justice; labor relation; learning process; people; contas; management"
32002017002p0;32002017002p0;1977.0;"plant; isolate; disease; specie; control; fungus; brazil; cultivar; gene; resistance; host; leave; analysis; soybean; different; region; pathogen; activity; leaf; new; fungicide; concentration; infection; treatment; nematode; experiment; growth; sp; application; population";42;7;32002017002p0;ciências agrárias i;universidade federal de viçosa;viçosa;agronomia (fitopatologia);sudeste;144.0;ufv;mg;"fu; pseudocercospora; ccc; fern; oa; asr; trichoderma; ps; nw; ralstonia; p chlamydosporia; flag; pc; frutal; cabbage; lasiodiplodia; fumonisin; asm; clone; andiroba; pi; begomoviruse; isolate; cedar; lsu; basalt; effector; potato; strawberry; ubá"
41006011007p2;41006011007p2;2005.0;"company; performance; research; management; relationship; analysis; information; accounting; factor; datum; influence; risk; variable; theory; innovation; sample; system; economic; organizational; environmental; financial; organization; structure; audit; process; market; model; effect; level; brazilian";27;5;41006011007p2;administração pública e de empresas, ciências contábeis e turismo;universidade regional de blumenau;blumenau;ciências contábeis;sul;114.0;furb;sc;"skeptic; gr; expertise; lunar; idiosyncratic; slack; curriculum; skepticism; declaratory; internationalized; distance; ies; conservatism; liquidity; dysfunctional; rating; economic performance; csr; tax; cost information; risk; audit; cognitive factor; lp; dividend; market performance; cv; msi; ds; management efficiency"
15001016090p1;15001016090p1;2016.0;"dam; analysis; method; mining; structure; emergency; safety; concrete; methodology; reduction; research; stress; simulation; small; strength; order; design; rod; piston; soil; area; use; strength reduction; water; tucuruí; control; impact; environmental; application; flood";10;3;15001016090p1;engenharias i;universidade federal do pará;belém;engenharia de barragem e gestão ambiental;norte;10.0;ufpa;pa;"strength reduction; dam; mix design; piston; sediment; emergency; tucuruí; sterile; rod; small; reduction method; barcarena; concrete; mix; flood; mining; safety; control level; soil; socioenvironmental; erosion; fume; hpp; fem; multiple use; control; strength; instrument; risk; multivariate analysis"
32005016033p1;32005016033p1;2010.0;"care; health; nursing; research; nurse; process; datum; family; professional; analysis; social; work; life; woman; people; participant; health care; approach; interview; disease; primary; home; qualitative; category; representation; primary health; service; elderly; year; education";20;3;32005016033p1;enfermagem;universidade federal de juiz de fora;juiz de fora;enfermagem;sudeste;97.0;ufjf;mg;"nursing record; smoking; quotidian; representation; chronic wound; vaccination; triage; manchester; scenery; hospital accreditation; uaps; incontinence; puncture; adverse event; accreditation; violence; prostate; acs; birth; commission; perineal; bond; transvestite; caregiver; aids; cervical cancer; peripheral vascular; hiv; street; cessation"
32005016031p9;32005016031p9;2010.0;"school; education; management; action; research; educational; evaluation; teacher; state; student; public; process; plan; analysis; policy; pedagogical; implementation; work; program; manager; case; project; professional; training; interview; datum; practice; ufjf; action plan; order";38;4;32005016031p9;educação;universidade federal de juiz de fora;juiz de fora;gestão e avaliação da educação pública;sudeste;711.0;ufjf;mg;"futuro; htp; probationary; m2; prison; blog; mep; abandon; pas; eeep; gide; pip; spaece; pge; evasion; cde; authorization; supervised practice; rem; bp; inspector; recovery; bonus; pav; partial; violence; tutor; internship; coordinating; pnae"
40014010011p6;40014010011p6;2014.0;"student; education; school; teaching; research; activity; teacher; learning; mathematical; process; modeling; knowledge; mathematical modeling; environmental; analysis; approach; datum; methodology; objective; content; group; educational; development; work; physics; class; pedagogical; perspective; mathematic; high";46;3;40014010011p6;ensino;universidade estadual do centro-oeste;guarapuava;ensino de ciências naturais e matemática;sul;32.0;unicentro;pr;"stse; modelling; islands; biochemistry; giftedness; biotechnology; detector; modeling; mathematical modelling; zoology; brochure; fraction; mathematical modeling; fairs; sd; educommunication; pmtu; high skill; ea; radioactivity; equipment; enrichment; environmental; nuclear physics; rural; photosynthesis; fair; nuclear; rural school; didatic"
20001010017p7;20001010017p7;2008.0;"group; periodontal; disease; dental; oral; resin; tooth; test; analysis; patient; level; child; health; control; association; effect; treatment; strength; variable; clinical; factor; datum; index; significant; carie; cement; periodontitis; higher; dentin; sample";18;4;20001010017p7;odontologia;universidade federal do maranhão;são luís;odontologia;nordeste;83.0;ufma;ma;"game; agp; sil; leptin; permeability; sct; shift; bruxism; cn; ferrous; mo; rmf; tcr; bg; prematurity; lbw; stop; elderly; ferrous sulfate; dexamethasone; dentinal; sca; luxation; wire; ari; toothbrush; fp; sonic; apa; compliant"
40004015044p0;40004015044p0;2014.0;"information; research; cost; accounting; analysis; performance; company; management; value; quality; datum; influence; financial; process; disclosure; risk; hospital; practice; organization; strategy; factor; logic; relation; level; student; organizational; market; theory; model; institutional";27;3;40004015044p0;administração pública e de empresas, ciências contábeis e turismo;universidade estadual de maringá;maringá;ciências contábeis;sul;44.0;uem;pr;"ir; internship; startup; kpi; cost management; hospital; managerial accounting; environmental risk; reporting; qc; accounting; ambidexterity; pms; notes; potential risk; cost; accrual; ies; logic; institutional logic; driver; trust; materiality; sticky; contingency; auditor; op; credit risk; sensemaking; nlp"
15006018001p0;15006018001p0;2005.0;"education; knowledge; research; school; teacher; practice; student; educational; analysis; process; teaching; work; pará; child; field; pedagogical; training; social; datum; activity; cultural; subject; objective; interview; course; state; culture; approach; question; qualitative";38;4;15006018001p0;educação;universidade do estado do pará;belém;educação;norte;169.0;uepa;pa;"hospital; toy; açaí; philosophy; gesture; venus; custom; alligator; deaf; prison; yard; gymnastic; parfor; electoral; chronotope; island; jewelry; xingu; probability; rosário; amazonian; trigonometric; ritual; igarapé; lady; digital literacy; marajoara; spiritist; candomblé; musical"
23001011176p6;23001011176p6;2017.0;"cage; deposition; copper; film; thin film; thin; sample; ray; glass; spectroscopy; cathodic; cathodic cage; plasma; substrate; polyamide; polyester; scanning; internal; fabric; treatment; lid; use; thickness; epa; higher rate; high temperature; xrd; bactericidal; us; dispersive energy";12;3;23001011176p6;engenharias ii;universidade federal do rio grande do norte;natal;engenharia têxtil;nordeste;1.0;ufrn;rn;"cage; deposition; copper; thin film; cathodic cage; thin; lid; cathodic; film; polyamide; fabric; glass; polyester; us environmental; tissue sample; microelectronic; flange; plasma; internal; higher rate; sterile; ray fluorescence spectroscopy; epa; environmental agency; excited; thickness; dispersive energy spectroscopy; microanalysis; frx; conductor"
33301000001p0;33301000001p0;2016.0;"archival; digital; archive; institution; documental; collection; public; work; cultural; heritage; research; memory; city; municipal; information; reis; document; cordel; personal; service; museum; patrimony; language; deaf; museums; brazil; present; area; abolition; education";31;3;33301000001p0;comunicação e informação;fundacao casa de rui barbosa;rio de janeiro;memória e acervos;sudeste;7.0;fcrb;rj;"archival; deaf; abolition; cordel; national history; personal collection; history museum; personal; museums; digital; deafness; documental; arrangement; heritage education; cordel literature; reis; archive; reuse; collection; rui barbosa; own teaching; slavery; rui; digital object; accessibility; curatorship; module; cultural; history and; curation"
20001010005p9;20001010005p9;1995.0;"system; model; algorithm; method; network; control; power; methodology; technique; work; problem; fuzzy; distribution; analysis; energy; function; datum; information; development; order; state; detection; process; adaptive; dynamic; controller; application; performance; test; approach";14;4;20001010005p9;engenharias iv;universidade federal do maranhão;são luís;engenharia de eletricidade;nordeste;136.0;ufma;ma;"ontology; saas; breast; riccati; seizure; weaving; authentication; lesion; mppt; identity; fuzzy; opf; energy function; kernel; auction; twitter; diabetes; microgrid; retrieval; seismic; facts; hamiltonian; middleware; ac; predictive control; heartbeat; database; information retrieval; diagnosis; intrusion detection"
15001016061p1;15001016061p1;2010.0;"system; solution; problem; method; existence; work; ricci; class; soliton; condition; curvature; type; manifold; model; elliptic; exponential; operator; product; theory; thesis; case; decay; riemannian; theorem; warped; equation; eigenvalue; positive; domain; nonlinear";1;4;15001016061p1;matemática / probabilidade e estatística;universidade federal do pará;belém;matemática - ufpa - ufam;norte;35.0;ufpa;pa;"embedding; eigenvalue; ricci; stabilization; anisotropic; soliton; curvature; lie; contact angle; transversality; nodal; lie group; autonomous; nonlocal; affine; pmc; contact; fluid; exponential; groups; penalization; timoshenko; solution method; bilinear; porous; galerkin; attractor; population dynamics; warped; riemannian manifold"
33002010038p7;33002010038p7;1970.0;"school; child; research; group; education; work; process; psychology; development; analysis; student; life; other; experience; practice; way; health; family; social; professional; field; knowledge; relation; care; psychologist; relationship; teacher; concept; activity; psychological";37;4;33002010038p7;psicologia;universidade de são paulo;são paulo;psicologia escolar e do desenvolvimento humano;sudeste;237.0;usp;sp;"laziness; metaphor; dyslexic; adoption; creativity; morphological; solidary; conceptual map; transference; toddler; deaf; disaster; fernando; journalism; death; loneliness; card; suicide; ta; solitude; art; playing; study activity; shelter; couple; adorno; formation; orthographic; pi; pain"
41005015001p8;41005015001p8;1995.0;"law; research; right; legal; state; sustainability; public; principle; chapter; environmental; constitutional; social; fundamental; human; dissertation; line; brazilian; system; process; method; court; concept; analysis; rights; tax; part; constitution; new; order; jurisdiction";26;6;41005015001p8;direito;universidade do vale do itajaí;itajaí;ciência jurídica;sul;333.0;univali;sc;"fsc; associativism; open government; detention; environmental education; rape; auditors; sport; tax substitution; haitians; police investigation; sustainability; extrajudicial; sources; violence; pma; foundations; tributary; conscientious; libertarian; automation; special courts; registrar; mediation; public information; divorce; pesticide; bobbio; efficiency principle; romano"
