tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
40006018177p2;40006018177p2;2017.0;"soil; soil sample; sample; extraction; cd; ni; site; area; cu; determination; al; condition; concentration; element; hcl; forest; v-1; native; total; zn; aas; g-1; limit; enrichment; agricultural area; forest area; ml; atomic; absorption; agent";12;3;40006018177p2;engenharias ii;universidade tecnológica federal do paraná;curitiba;engenharia química;sul;1.0;utfpr;pr;"soil sample; v-1; hcl; ni; cd; cu; extraction; soil; aas; determination; al; g-1; sample; atomic absorption; site; enrichment; agricultural area; atomic; none; forest area; guarapuava; nabh4; carrier agent; native forest; zn; hydride; hydride generation; hno3; central composite design; absorption"
27001016039p0;27001016039p0;2012.0;"concept; philosophy; work; history; scientific; philosopher; body; chapter; war; law; human; way; art; state; rousseau; research; perception; theory; progress; political; peace; development; first; notion; text; structure; problem; analysis; expression; natural";33;4;27001016039p0;filosofia;fundação universidade federal de sergipe;são cristóvão;filosofia;nordeste;34.0;fufse;se;"indifferent; perpetual; scientific activity; scientific development; progress; unconscious; abstraction; architecture; peace; water; sovereignty; pragmatic; leibniz; beauty; war; derrida; property; deleuze; art; perception; tolerance; deconstruction; sophist; event; machiavelli; scientific; educational training; raw material; environmental; virtue"
31004016001p3;31004016001p3;1975.0;"cell; group; effect; expression; gene; level; animal; tumor; activity; specie; treatment; analysis; cancer; exposure; different; dna; tissue; population; control; protein; model; sample; day; high; disease; change; diet; other; increase; datum";6;6;31004016001p3;ciências biológicas i;universidade do estado do rio de janeiro;rio de janeiro;biociências;sudeste;162.0;uerj;rj;"tam; heme; ew; eta; stat3; amb; row; ghrelin; ancestry; nicotine; ase; max; gbs; mr; ck; ssd; chlorpyrifos; hi; bnp; doxorubicin; laser; exon; ee; duplication; ecm; wbv; pd; beam; derivative; ev"
31004016028p9;31004016028p9;1998.0;"social; work; policy; health; research; process; worker; public; professional; state; assistance; service; social work; analysis; project; social assistance; capital; brazil; education; brazilian; labor; social worker; political; right; production; thesis; class; condition; development; historical";32;6;31004016028p9;serviço social;universidade do estado do rio de janeiro;rio de janeiro;serviço social;sudeste;174.0;uerj;rj;"brt; transplantation; shipping; ethic; abortion; supervision; marini; neglect; punitive; trans; social organizations; harassment; ngos; sexuality; pst; student assistance; oral health; food; lgbt; forum; food guide; housing; domestic violence; violence; olympic; internship; health surveillance; organizations; social risk; urban context"
32002017041p5;32002017041p5;2011.0;"plant; soil; application; experiment; crop; nutrient; fruit; treatment; use; coffee; water; control; dose; productivity; carrot; number; effect; extract; level; production; content; field; method; value; cultivar; condition; source; different; day; area";42;3;32002017041p5;ciências agrárias i;universidade federal de viçosa;viçosa;agronomia (produção vegetal);sudeste;70.0;ufv;mg;"metribuzin; tuber; plow; bulb; hydric; avocado; ars; edl; cutting; powder; glyphosate; injury; biochar; tifton; coffee; carrot; aba; wax; drift; meloidogyne; rock powder; potato; cabbage; cvi; pesticide; antibiosis; alternative source; spray; rock; adaptability"
41008014001p7;41008014001p7;2003.0;"analysis; discourse; research; school; language; process; subject; image; discursive; work; culture; concept; body; social; production; discourse analysis; other; student; fashion; way; identity; theory; theoretical; game; cultural; life; order; author; speech; thesis";41;5;41008014001p7;linguística e literatura;universidade do sul de santa catarina;tubarão;ciências da linguagem;sul;158.0;unisul;sc;"hysteria; fashion; joke; gypsy; carnival; game; rumor; bus; deaf; film; school newspaper; blackout; website; institutional repository; pnaic; birth; graffiti; solidarity economy; maternal; developer; lace; user; repatriation; height; template; intolerance; school culture; subject constitution; cycles; mask"
32049013001p5;32049013001p5;1995.0;"public; policy; social; state; minas; gerais; minas gerais; analysis; management; research; process; action; government; new; model; institutional; development; planning; change; public policy; participation; implementation; work; municipality; security; context; citizen; main; health; program";27;3;32049013001p5;administração pública e de empresas, ciências contábeis e turismo;fundação joão pinheiro (escola de governo);belo horizonte;administração pública;sudeste;101.0;fjp;mg;"ombudsman; bpc; st&i; creative; human development; road safety; masp; pharmaceutical assistance; licensing; family; environmental licensing; crime prevention; gmbh; urban; minas; exclusion; railway; fiscal; crime; racial; racial equality; mental health; auditors; iptu; informality; social protection; social medium; guard; accident; state capacity"
25001019020p1;25001019020p1;1977.0;"soil; dose; radiation; sample; area; value; concentration; system; analysis; model; method; energy; region; work; water; different; biomass; high; gamma; use; plant; datum; source; environmental; level; production; main; technique; activity; potential";12;5;25001019020p1;engenharias ii;universidade federal de pernambuco;recife;tecnologias energéticas nucleares;nordeste;214.0;ufpe;pe;"pebble; pcm; kvp; eva; cus; dosimeter; mirror; sulfamethoxazole; 210pb; neutron; desertification; nms; mosfet; m/; smoker; lesion; module; fluorite; insulator; 18f; pni; pad; forensic; gate; biodigestor; gg-1; tracking; radiotherapy; pcl; wf"
42001013052p9;42001013052p9;1990.0;"area; datum; model; image; analysis; region; temperature; vegetation; method; use; spectral; remote; value; different; water; surface; system; sensing; work; remote sensing; index; high; process; spatial; field; precipitation; period; forest; environmental; grande";5;4;42001013052p9;geociências;universidade federal do rio grande do sul;porto alegre;sensoriamento remoto;sul;98.0;ufrgs;rs;"glacier; pinus; emissivity; active layer; altitude; rice; pertinence; fire; ndwi; tropic; so2; reliability; grassland; carbon; concrete; desertification; environmental system; frontal system; assimilation; dem; tls; taim; tir; nanoparticle; uav; radiance; network; forest fire; frontal; urban"
33004099079p1;33004099079p1;1995.0;"soil; plant; crop; production; yield; seed; area; treatment; system; grain; ha-1; experiment; application; population; genetic; dose; specie; design; effect; productivity; use; corn; nitrogen; year; soybean; inoculation; bean; growth; experimental; height";42;5;33004099079p1;ciências agrárias i;universidade estadual paulista júlio de mesquita filho ( ilha solteira );ilha solteira;agronomia;sudeste;255.0;unesp-is;sp;"passiflora; mc; adjuvant; pomegranate; ni; molybdenum; esmeralda; mo; cotton; g-1; k2o; paa; subproject; sheep; caribaea; peanut; rr; azole; sorghum; caterpillar; heritability; piatã; sample composition; gypsum; rubber; topdressing; guardian; wheat; paiaguás; nickel"
33004129042p3;33004129042p3;1988.0;"urban; area; city; process; production; space; state; analysis; environmental; research; social; land; spatial; rural; development; territory; são; climate; policy; use; change; datum; brazil; work; public; different; region; paulo; water; system";36;7;33004129042p3;geografia;universidade estadual paulista júlio de mesquita filho ( presidente prudente );presidente prudente;geografia;sudeste;282.0;unesp-pp;sp;"social work; açaí; centre; concession; suicide; green infrastructure; contentious; mossoro; food; agrarian; shopping; paranavaí; dissension; curriculum proposal; biodeterioration; supermarket; pathogenic; sugarcane; agrarian reform; selective collection; municipal district; environmental stability; waste; condom; climatology; feast; contestado; fly; vl; accessibility"
